//*  Dialoglinjer begynder med en kode som "v2;30;" der angiver, hvem der taler, og hvornår linjen vises. Kopier den nøjagtigt i din oversættelse.
//*  Første halvdel af linjen (frem til /) er på landsbyboernes oprindelige sprog og skal bevares som den er; anden halvdel skal oversættes.
//*
//*



newchat;key:sun,tag:notraining,weigth:18
v1;0;Jeg elsker solskinsdage!
v2;30;Hvem gør ikke det?

newchat;key:nicevillage,weigth:10
v1;0;Det er altid en fornøjelse at se vores hyggelige lille landsby, ikke sandt?
v2;30;Selvfølgelig, vi har arbejdet hårdt!

newchat;key:sunzombie,tag:notraining,weigth:2
v1;0;Jeg elsker solskinsdage!
v2;30;Hvem gør ikke det?
v1;60;Det gør jeg ikke.
v2;120;Hvorfor dog?
v1;150;Solen brænder min hud, jeg hader at være udendørs!
v2;180;Du opfører dig som en zombie!
v1;210;Måske er jeg en ...

newchat;key:nothomeyet,weigth:6
v1;0;Det er altid en glæde at se vores lille landsby, ikke sandt?
v2;30;Sandelig! Vi har arbejdet så hårdt på at bygge den.
v1;60;Det er som derhjemme, ligesom før vi kom hertil.
v2;90;Det er vores hjem nu, det må vi acceptere.
v1;120;Det ved jeg, jeg accepterer det med tiden ...

newchat;key:ishome,weigth:6
v1;0;Det er altid en glæde at se vores lille landsby?
v2;30;Sandelig! Vi har arbejdet så hårdt på at bygge den.
v1;60;Det er som derhjemme, ligesom før vi kom hertil.
v2;90;Det er vores hjem nu, det må vi acceptere.
v1;120;Det er vores hjem, denne samtale har fået mig til at acceptere det.

newchat;key:harvest,weigth:10
v1;0;Hveden gror virkelig godt i år, og det gør vinrankerne også. Storartet, ikke?
v2;30;Jo, det ser sådan ud: Vi må takke det forunderlige vejr, vi har her.
v1;60;Som om jeg gav noget for det!

newchat;key:lightning,weigth:7
v1;0;Husker du det sidste tordenvejr, vi havde?
v2;30;Sandelig! Næsten hele vores høst blev ødelagt. Naturen kan være voldsom, ikke?
v1;60;Voldsom er én ting. Jeg blev næsten ramt af lynet!
v2;100;Var du ikke i ly? Du ved da, hvor farligt det er at være udendørs i et tordenvejr?
v1;120;Man lærer af sine fejl.

newchat;key:lightningpig,weigth:1,v1:adult,v2:adult
v1;0;Jeg har det ikke godt ...
v2;30;Hvad er der i vejen? Er du syg?
v1;60;Nej, j-j-jeg kom lige til at huske en d-d-dårlig oplevelse.
v2;100;Du virker virkelig berørt. Er du sikker på, du ikke er syg?
v1;120;Sikker, j-jeg er bare b-bange.
v2;150;Nå, hvad er der så?
v1;180;Under det sidste tordenvejr gik jeg uden for l-l-landsbyen, og jeg vidste, jeg ikke kunne nå tilbage før stormen var ovre. Jeg gemte mig under et træ.
v2;210;Du satte dit liv på spil uden for landsbyen! Du kunne være død!
v1;240;Tja, jeg var i live. Men lynet ramte et svin. Og det s-svin ... jeg så det rejse sig på sine bagben og gå som os, det angreb mig m-m-med et skinnende sværd!
v2;290;Det, du siger, giver ingen mening. Det må have været et mareridt.
v1;320;Det var sandt! Sandt! Sandt! Sandt!
v2;350;Du er gal. Gå hen og drik lidt vin, og fald til ro.
v1;380;J-jeg vil gøre det. M-måske t-trøster det mig.

