//*   A párbeszéd-sorok egy "v2;30;" stílusú kóddal kezdődnek, amely megadja, ki beszél és mikor olvasható a párbeszéd. Kérjük, pontosan másold át ezt a kódot a fordításodba.
//*   A sor első fele (a / előtti rész) a falulakók eredeti nyelvén van, ezért úgy kell hagyni, a második felét kell lefordítani.
//*
//*



newchat;key:sun,tag:notraining,weigth:18
v1;0;Szeretem a napsütéses napokat!
v2;30;Ki ne szeretné őket?

newchat;key:nicevillage,weigth:10
v1;0;Mindig öröm látni a szép kis falunkat, nemde?
v2;30;Persze, keményen megdolgoztunk érte!

newchat;key:sunzombie,tag:notraining,weigth:2
v1;0;Szeretem a napsütéses napokat!
v2;30;Ki ne szeretné őket?
v1;60;Én.
v2;120;Ugyan miért?
v1;150;A nap égeti a bőrömet, utálok kint lenni!
v2;180;Úgy viselkedsz, mint egy zombi!
v1;210;Talán az is vagyok...

newchat;key:nothomeyet,weigth:6
v1;0;Mindig öröm látni a kis falunkat, nemde?
v2;30;Hát hogyne! Olyan keményen dolgoztunk a felépítésén.
v1;60;Otthonosnak hat, mint mielőtt idejöttünk.
v2;90;Most ez az otthonunk, el kell fogadnunk.
v1;120;Tudom, eljön majd az ideje, hogy elfogadom...

newchat;key:ishome,weigth:6
v1;0;Mindig öröm látni a kis falunkat?
v2;30;Hát hogyne! Olyan keményen dolgoztunk a felépítésén.
v1;60;Otthonosnak hat, mint mielőtt idejöttünk.
v2;90;Most ez az otthonunk, el kell fogadnunk.
v1;120;Ez az otthonunk, ez a beszélgetés segített elfogadni.

newchat;key:harvest,weigth:10
v1;0;A búza valóban jól nő ebben az évben, ahogy a szőlő is. Pompás, nem?
v2;30;Igen, úgy tűnik: Hihetetlen időjárásunk van itt, ezt meg kell köszönni.
v1;60;Mintha érdekelne!

newchat;key:lightning,weigth:7
v1;0;Emlékszel a legutóbbi viharra?
v2;30;Hát hogyne! Majdnem az egész termésünk tönkrement. A természet tud erőszakos lenni, mi?
v1;60;Az erőszakos egy dolog. Engem majdnem agyoncsapott a villám!
v2;100;Nem voltál fedett helyen? Tudod, mennyire veszélyes vihar idején kint lenni?
v1;120;A hibáiból tanul az ember.

newchat;key:lightningpig,weigth:1,v1:adult,v2:adult
v1;0;Nem érzem jól magam...
v2;30;Mi a baj? Beteg vagy?
v1;60;Nem, c-c-csak egy rossz emlékre em-mlékeztem.
v2;100;Tényleg rosszul nézel ki. Biztos, hogy nem vagy beteg?
v1;120;Biztos, c-csak f-félek.
v2;150;Mi az, mi van?
v1;180;A legutóbbi viharban kint sétáltam a fa-falu mellett, és tudtam, hogy nem tudok visszamenni, mielőtt vége nem lesz a viharnak. Egy fa alá bújtam.
v2;210;A falun kívül kockára tetted az életedet! Meghalhattál volna!
v1;240;Mindegy is, életben voltam. De a villám belecsapott egy disznóba. És az a d-disznó... Láttam, hogy felállt a hátsó lábaira, és úgy lépkedett, mint mi, és egy fé-fényes karddal megtámadott!
v2;290;Amit mondasz, nincs értelme. Biztos rémálom volt.
v1;320;Igaz volt! Igaz! Igaz! Igaz!
v2;350;Megőrültél. Igyál egy kis bort, és nyugtasd meg az idegeidet.
